disp_x,disp_y,id,stress_xx,stress_xy,stress_yy,x,y,z
-113.24612815154,43.24148818444,0,241616.46637604,-26208.978334734,4978750.7222554,5.2,0,0
-113.24612809914,43.226313869008,0.0044304430443045,241616.46637604,-26208.978334734,4978750.7222554,5.2044304430443,0,0
-113.24612804674,43.211139553576,0.008860886088609,241616.46637604,-26208.978334734,4978750.7222554,5.2088608860886,0,0
-113.24612799435,43.195965238145,0.013291329132914,241616.46637604,-26208.978334734,4978750.7222554,5.2132913291329,0,0
-113.24612794195,43.180790922713,0.017721772177218,241616.46637604,-26208.978334734,4978750.7222554,5.2177217721772,0,0
-113.24612788815,43.165616621501,0.022152215221523,214313.48647954,18383.767711171,4856019.1025332,5.2221522152215,0,0
-113.24612783374,43.150442326592,0.026582658265826,214313.48647954,18383.767711171,4856019.1025332,5.2265826582658,0,0
-113.24612777932,43.135268031684,0.031013101310131,214313.48647954,18383.767711171,4856019.1025332,5.2310131013101,0,0
-113.24612772491,43.120093736776,0.035443544354435,214313.48647954,18383.767711171,4856019.1025332,5.2354435443544,0,0
-113.24612767049,43.104919441868,0.03987398739874,214313.48647954,18383.767711171,4856019.1025332,5.2398739873987,0,0
-113.24612761607,43.08974514696,0.044304430443044,214313.48647954,18383.767711171,4856019.1025332,5.244304430443,0,0
-113.24612756166,43.074570852051,0.048734873487349,214313.48647954,18383.767711171,4856019.1025332,5.2487348734873,0,0
-113.24612750724,43.059396557143,0.053165316531653,214313.48647954,18383.767711171,4856019.1025332,5.2531653165317,0,0
-113.24612745282,43.044222262235,0.057595759575958,214313.48647954,18383.767711171,4856019.1025332,5.257595759576,0,0
-113.24612739841,43.029047967327,0.062026202620262,214313.48647954,18383.767711171,4856019.1025332,5.2620262026203,0,0
-113.24612734399,43.013873672418,0.066456645664567,214313.48647954,18383.767711171,4856019.1025332,5.2664566456646,0,0
-113.24612728958,42.99869937751,0.070887088708871,214313.48647954,18383.767711171,4856019.1025332,5.2708870887089,0,0
-113.24612723516,42.983525082602,0.075317531753175,214313.48647954,18383.767711171,4856019.1025332,5.2753175317532,0,0
-113.24612718074,42.968350787694,0.079747974797479,214313.48647954,18383.767711171,4856019.1025332,5.2797479747975,0,0
-113.24612712633,42.953176492785,0.084178417841784,214313.48647954,18383.767711171,4856019.1025332,5.2841784178418,0,0
-113.24612707191,42.938002197877,0.088608860886088,214313.48647954,18383.767711171,4856019.1025332,5.2886088608861,0,0
-113.24612701572,42.922827901173,0.093039303930393,336811.35414459,-10112.350698415,4842843.754601,5.2930393039304,0,0
-113.2461269412,42.90765358595,0.097469746974697,336811.35414459,-10112.350698415,4842843.754601,5.2974697469747,0,0
-113.24612686669,42.892479270728,0.101900190019,336811.35414459,-10112.350698415,4842843.754601,5.301900190019,0,0
-113.24612679218,42.877304955505,0.10633063306331,336811.35414459,-10112.350698415,4842843.754601,5.3063306330633,0,0
-113.24612671766,42.862130640283,0.11076107610761,336811.35414459,-10112.350698415,4842843.754601,5.3107610761076,0,0
-113.24612664315,42.84695632506,0.11519151915192,336811.35414459,-10112.350698415,4842843.754601,5.3151915191519,0,0
-113.24612656863,42.831782009838,0.11962196219622,336811.35414459,-10112.350698415,4842843.754601,5.3196219621962,0,0
-113.24612649412,42.816607694615,0.12405240524052,336811.35414459,-10112.350698415,4842843.754601,5.3240524052405,0,0
-113.24612641961,42.801433379393,0.12848284828483,336811.35414459,-10112.350698415,4842843.754601,5.3284828482848,0,0
-113.24612634509,42.786259064171,0.13291329132913,336811.35414459,-10112.350698415,4842843.754601,5.3329132913291,0,0
-113.24612627058,42.771084748948,0.13734373437344,336811.35414459,-10112.350698415,4842843.754601,5.3373437343734,0,0
-113.24612619606,42.755910433726,0.14177417741774,336811.35414459,-10112.350698415,4842843.754601,5.3417741774177,0,0
-113.24612612155,42.740736118503,0.14620462046205,336811.35414459,-10112.350698415,4842843.754601,5.346204620462,0,0
-113.24612604704,42.725561803281,0.15063506350635,336811.35414459,-10112.350698415,4842843.754601,5.3506350635064,0,0
-113.24612597252,42.710387488058,0.15506550655066,336811.35414459,-10112.350698415,4842843.754601,5.3550655065507,0,0
-113.24612589801,42.695213172836,0.15949594959496,336811.35414459,-10112.350698415,4842843.754601,5.359495949595,0,0
-113.24612582349,42.680038857613,0.16392639263926,336811.35414459,-10112.350698415,4842843.754601,5.3639263926393,0,0
-113.24612574898,42.664864542391,0.16835683568357,336811.35414459,-10112.350698415,4842843.754601,5.3683568356836,0,0
-113.24612567447,42.649690227168,0.17278727872787,336811.35414459,-10112.350698415,4842843.754601,5.3727872787279,0,0
-113.24612559995,42.634515911946,0.17721772177218,336811.35414459,-10112.350698415,4842843.754601,5.3772177217722,0,0
-113.24612552544,42.619341596723,0.18164816481648,336811.35414459,-10112.350698415,4842843.754601,5.3816481648165,0,0
-113.24612544863,42.60416729031,0.18607860786079,340582.00650461,37569.3860065,4729791.1087542,5.3860786078608,0,0
-113.24612536767,42.588992999849,0.19050905090509,340582.00650461,37569.3860065,4729791.1087542,5.3905090509051,0,0
-113.24612528671,42.573818709388,0.19493949394939,340582.00650461,37569.3860065,4729791.1087542,5.3949394939494,0,0
-113.24612520576,42.558644418926,0.1993699369937,340582.00650461,37569.3860065,4729791.1087542,5.3993699369937,0,0
-113.2461251248,42.543470128465,0.203800380038,340582.00650461,37569.3860065,4729791.1087542,5.403800380038,0,0
-113.24612504384,42.528295838004,0.20823082308231,340582.00650461,37569.3860065,4729791.1087542,5.4082308230823,0,0
-113.24612496288,42.513121547543,0.21266126612661,340582.00650461,37569.3860065,4729791.1087542,5.4126612661266,0,0
-113.24612488192,42.497947257082,0.21709170917092,340582.00650461,37569.3860065,4729791.1087542,5.4170917091709,0,0
-113.24612480097,42.482772966621,0.22152215221522,340582.00650461,37569.3860065,4729791.1087542,5.4215221522152,0,0
-113.24612472001,42.46759867616,0.22595259525953,340582.00650461,37569.3860065,4729791.1087542,5.4259525952595,0,0
-113.24612463905,42.452424385698,0.23038303830383,340582.00650461,37569.3860065,4729791.1087542,5.4303830383038,0,0
-113.24612455263,42.43725008945,0.23481348134813,458373.5193696,6764.4039244781,4718500.4326315,5.4348134813481,0,0
-113.24612445242,42.422075778596,0.23924392439244,458373.5193696,6764.4039244781,4718500.4326315,5.4392439243924,0,0
-113.2461243522,42.406901467742,0.24367436743674,458373.5193696,6764.4039244781,4718500.4326315,5.4436743674367,0,0
-113.24612425199,42.391727156888,0.24810481048105,458373.5193696,6764.4039244781,4718500.4326315,5.448104810481,0,0
-113.24612415178,42.376552846034,0.25253525352535,458373.5193696,6764.4039244781,4718500.4326315,5.4525352535254,0,0
-113.24612405157,42.36137853518,0.25696569656966,458373.5193696,6764.4039244781,4718500.4326315,5.4569656965697,0,0
