disp_x,disp_y,id,stress_xx,stress_xy,stress_yy,x,y,z
-71.684359034813,-4.0850479716084,0,240705.49823018,-27221.641239492,5077213.9110488,5.2,0,0
-71.68435886252,-4.0824649998327,0.0044304430443045,240705.49823018,-27221.641239492,5077213.9110488,5.2044304430443,0,0
-71.684358690227,-4.0798820280569,0.008860886088609,240705.49823018,-27221.641239492,5077213.9110488,5.2088608860886,0,0
-71.684358517934,-4.0772990562811,0.013291329132914,240705.49823018,-27221.641239492,5077213.9110488,5.2132913291329,0,0
-71.68435834564,-4.0747160845054,0.017721772177218,240705.49823018,-27221.641239492,5077213.9110488,5.2177217721772,0,0
-71.68435817199,-4.0721330970072,0.022152215221523,223414.18955179,18808.136461507,4963754.889372,5.2221522152215,0,0
-71.684357997739,-4.0695501025389,0.026582658265826,223414.18955179,18808.136461507,4963754.889372,5.2265826582658,0,0
-71.684357823487,-4.0669671080707,0.031013101310131,223414.18955179,18808.136461507,4963754.889372,5.2310131013101,0,0
-71.684357649235,-4.0643841136024,0.035443544354435,223414.18955179,18808.136461507,4963754.889372,5.2354435443544,0,0
-71.684357474984,-4.0618011191342,0.03987398739874,223414.18955179,18808.136461507,4963754.889372,5.2398739873987,0,0
-71.684357300732,-4.0592181246659,0.044304430443044,223414.18955179,18808.136461507,4963754.889372,5.244304430443,0,0
-71.68435712648,-4.0566351301976,0.048734873487349,223414.18955179,18808.136461507,4963754.889372,5.2487348734873,0,0
-71.684356952228,-4.0540521357294,0.053165316531653,223414.18955179,18808.136461507,4963754.889372,5.2531653165317,0,0
-71.684356777977,-4.0514691412611,0.057595759575958,223414.18955179,18808.136461507,4963754.889372,5.257595759576,0,0
-71.684356603725,-4.0488861467929,0.062026202620262,223414.18955179,18808.136461507,4963754.889372,5.2620262026203,0,0
-71.684356429473,-4.0463031523246,0.066456645664567,223414.18955179,18808.136461507,4963754.889372,5.2664566456646,0,0
-71.684356255222,-4.0437201578563,0.070887088708871,223414.18955179,18808.136461507,4963754.889372,5.2708870887089,0,0
-71.68435608097,-4.0411371633881,0.075317531753175,223414.18955179,18808.136461507,4963754.889372,5.2753175317532,0,0
-71.684355906718,-4.0385541689198,0.079747974797479,223414.18955179,18808.136461507,4963754.889372,5.2797479747975,0,0
-71.684355732467,-4.0359711744516,0.084178417841784,223414.18955179,18808.136461507,4963754.889372,5.2841784178418,0,0
-71.684355558215,-4.0333881799833,0.088608860886088,223414.18955179,18808.136461507,4963754.889372,5.2886088608861,0,0
-71.684355381994,-4.0308051874765,0.093039303930393,340000.9240065,-9612.5893311658,4942190.4251569,5.2930393039304,0,0
-71.68435518547,-4.0282222151916,0.097469746974697,340000.9240065,-9612.5893311658,4942190.4251569,5.2974697469747,0,0
-71.684354988946,-4.0256392429067,0.101900190019,340000.9240065,-9612.5893311658,4942190.4251569,5.301900190019,0,0
-71.684354792422,-4.0230562706218,0.10633063306331,340000.9240065,-9612.5893311658,4942190.4251569,5.3063306330633,0,0
-71.684354595898,-4.0204732983369,0.11076107610761,340000.9240065,-9612.5893311658,4942190.4251569,5.3107610761076,0,0
-71.684354399374,-4.017890326052,0.11519151915192,340000.9240065,-9612.5893311658,4942190.4251569,5.3151915191519,0,0
-71.684354202851,-4.0153073537671,0.11962196219622,340000.9240065,-9612.5893311658,4942190.4251569,5.3196219621962,0,0
-71.684354006327,-4.0127243814822,0.12405240524052,340000.9240065,-9612.5893311658,4942190.4251569,5.3240524052405,0,0
-71.684353809803,-4.0101414091973,0.12848284828483,340000.9240065,-9612.5893311658,4942190.4251569,5.3284828482848,0,0
-71.684353613279,-4.0075584369124,0.13291329132913,340000.9240065,-9612.5893311658,4942190.4251569,5.3329132913291,0,0
-71.684353416755,-4.0049754646275,0.13734373437344,340000.9240065,-9612.5893311658,4942190.4251569,5.3373437343734,0,0
-71.684353220231,-4.0023924923426,0.14177417741774,340000.9240065,-9612.5893311658,4942190.4251569,5.3417741774177,0,0
-71.684353023707,-3.9998095200577,0.14620462046205,340000.9240065,-9612.5893311658,4942190.4251569,5.346204620462,0,0
-71.684352827183,-3.9972265477728,0.15063506350635,340000.9240065,-9612.5893311658,4942190.4251569,5.3506350635064,0,0
-71.684352630659,-3.9946435754879,0.15506550655066,340000.9240065,-9612.5893311658,4942190.4251569,5.3550655065507,0,0
-71.684352434135,-3.992060603203,0.15949594959496,340000.9240065,-9612.5893311658,4942190.4251569,5.359495949595,0,0
-71.684352237611,-3.9894776309181,0.16392639263926,340000.9240065,-9612.5893311658,4942190.4251569,5.3639263926393,0,0
-71.684352041087,-3.9868946586331,0.16835683568357,340000.9240065,-9612.5893311658,4942190.4251569,5.3683568356836,0,0
-71.684351844564,-3.9843116863482,0.17278727872787,340000.9240065,-9612.5893311658,4942190.4251569,5.3727872787279,0,0
-71.68435164804,-3.9817287140633,0.17721772177218,340000.9240065,-9612.5893311658,4942190.4251569,5.3772177217722,0,0
-71.684351451516,-3.9791457417784,0.18164816481648,340000.9240065,-9612.5893311658,4942190.4251569,5.3816481648165,0,0
-71.68435125245,-3.9765627597559,0.18607860786079,352825.37952681,38995.369542449,4835752.8321988,5.3860786078608,0,0
-71.684351048783,-3.9739797600995,0.19050905090509,352825.37952681,38995.369542449,4835752.8321988,5.3905090509051,0,0
-71.684350845115,-3.9713967604431,0.19493949394939,352825.37952681,38995.369542449,4835752.8321988,5.3949394939494,0,0
-71.684350641448,-3.9688137607867,0.1993699369937,352825.37952681,38995.369542449,4835752.8321988,5.3993699369937,0,0
-71.68435043778,-3.9662307611302,0.203800380038,352825.37952681,38995.369542449,4835752.8321988,5.403800380038,0,0
-71.684350234112,-3.9636477614738,0.20823082308231,352825.37952681,38995.369542449,4835752.8321987,5.4082308230823,0,0
-71.684350030445,-3.9610647618174,0.21266126612661,352825.37952681,38995.369542449,4835752.8321987,5.4126612661266,0,0
-71.684349826777,-3.958481762161,0.21709170917092,352825.37952681,38995.369542449,4835752.8321987,5.4170917091709,0,0
-71.684349623109,-3.9558987625046,0.22152215221522,352825.37952681,38995.369542449,4835752.8321987,5.4215221522152,0,0
-71.684349419442,-3.9533157628481,0.22595259525953,352825.37952681,38995.369542449,4835752.8321987,5.4259525952595,0,0
-71.684349215774,-3.9507327631917,0.23038303830383,352825.37952681,38995.369542449,4835752.8321987,5.4303830383038,0,0
-71.684349006029,-3.9481497699936,0.23481348134813,464992.44898268,7214.0347829496,4815309.0254415,5.4348134813481,0,0
-71.684348780947,-3.9455667930924,0.23924392439244,464992.44898268,7214.0347829496,4815309.0254415,5.4392439243924,0,0
