disp_x,disp_y,id,stress_xx,stress_xy,stress_yy,x,y,z
-0.0010999302920145,-0.0078110864443311,0,28072.790229887,-16027.414489759,-89154.111740675,5.2,0,0
-0.0011012792442185,-0.0077709386261812,0.44747474747475,28072.790229887,-16027.414489759,-89154.111740675,5.6474747474747,0,0
-0.0011030544306429,-0.0077317088968749,0.8949494949495,-216958.5621079,-151175.62847362,-77268.163081184,6.0949494949495,0,0
-0.0011064121249708,-0.0076958878165732,1.3424242424242,-216958.5621079,-151175.62847362,-77268.163081184,6.5424242424242,0,0
-0.0011097698192987,-0.0076600667362715,1.789898989899,-216958.5621079,-151175.62847362,-77268.163081184,6.989898989899,0,0
-0.0011160875219805,-0.0076287497022538,2.2373737373737,-565255.13183662,-189589.57325147,3985.1674274348,7.4373737373737,0,0
-0.0011224735851323,-0.0075975366877808,2.6848484848485,-565255.13183662,-189589.57325147,3985.1674274348,7.8848484848485,0,0
-0.0011313255849657,-0.0075684299845605,3.1323232323232,-972111.67790268,-172713.74610951,18152.748597214,8.3323232323232,0,0
-0.0011410320431021,-0.0075400531277924,3.579797979798,-972111.67790268,-172713.74610951,18152.748597214,8.779797979798,0,0
-0.0011523092723503,-0.0075122036010985,4.0272727272727,-1356429.135562,-143141.90179744,15256.152826431,9.2272727272727,0,0
-0.0011651084042757,-0.0074848649986542,4.4747474747475,-1356429.135562,-143141.90179744,15256.152826431,9.6747474747475,0,0
-0.0011785936668162,-0.007457588225565,4.9222222222222,-1667596.5320576,-114125.86805159,15889.608005051,10.122222222222,0,0
-0.0011939048306629,-0.0074304759900986,5.369696969697,-1667596.5320576,-114125.86805159,15889.608005051,10.569696969697,0,0
-0.0012092911731249,-0.0074033567699241,5.8171717171717,-1911871.1952668,-93974.850541016,11572.934063522,11.017171717172,0,0
-0.0012265614032403,-0.0073760625211853,6.2646464646465,-1911871.1952668,-93974.850541016,11572.934063522,11.464646464646,0,0
-0.0012438316333558,-0.0073487682724464,6.7121212121212,-1911871.1952668,-93974.850541016,11572.934063522,11.912121212121,0,0
-0.0012623220410442,-0.0073208211283485,7.159595959596,-2096875.5723316,-73636.686493512,21186.692347558,12.359595959596,0,0
-0.0012811106381956,-0.0072927144283622,7.6070707070707,-2096875.5723316,-73636.686493512,21186.692347558,12.807070707071,0,0
-0.0013005664845486,-0.0072640586161055,8.0545454545455,-2242636.274368,-57461.986517193,20094.921450407,13.254545454545,0,0
-0.0013205280634314,-0.0072349866116119,8.5020202020202,-2242636.274368,-57461.986517193,20094.921450407,13.70202020202,0,0
-0.0013407742759418,-0.0072054886287393,8.949494949495,-2350771.9601496,-38743.623515283,12508.169918502,14.149494949495,0,0
-0.0013615878325069,-0.0071751415673408,9.3969696969697,-2350771.9601496,-38743.623515283,12508.169918502,14.59696969697,0,0
-0.0013824645294149,-0.0071446648218263,9.8444444444444,-2429227.7621101,-27093.993796426,13538.207663755,15.044444444444,0,0
-0.0014039137944319,-0.0071130120771684,10.291919191919,-2429227.7621101,-27093.993796426,13538.207663755,15.491919191919,0,0
-0.0014253630594488,-0.0070813593325106,10.739393939394,-2429227.7621101,-27093.993796426,13538.207663755,15.939393939394,0,0
-0.001447060898676,-0.0070484576566519,11.186868686869,-2464186.0206475,-21007.570822746,15580.197292124,16.386868686869,0,0
-0.0014687976790327,-0.0070153603257748,11.634343434343,-2464186.0206475,-21007.570822746,15580.197292124,16.834343434343,0,0
-0.0014908125886237,-0.0069813365292848,12.081818181818,-2518176.845486,-6071.3569219085,17829.577762242,17.281818181818,0,0
-0.0015129909863668,-0.0069467681436892,12.529292929293,-2518176.845486,-6071.3569219085,17829.577762242,17.729292929293,0,0
-0.0015351382184912,-0.0069115955976415,12.976767676768,-2510150.7452723,4141.2243700634,12570.167862473,18.176767676768,0,0
-0.0015572377226969,-0.0068754978230159,13.424242424242,-2510150.7452723,4141.2243700634,12570.167862473,18.624242424242,0,0
-0.0015793060551403,-0.0068391591955446,13.871717171717,-2487131.4834307,5988.5707929357,9302.4401759979,19.071717171717,0,0
-0.0016012110651106,-0.0068015586348541,14.319191919192,-2487131.4834307,5988.5707929357,9302.4401759979,19.519191919192,0,0
-0.001623116075081,-0.0067639580741636,14.766666666667,-2487131.4834307,5988.5707929357,9302.4401759979,19.966666666667,0,0
-0.0016450023108009,-0.0067248747165192,15.214141414141,-2485320.1232264,11959.250904908,7193.1185295034,20.414141414141,0,0
